Date	Location	First Name	Last Name	School	SB Total	SB Center	SB Squaded	AR Total	AR Center	AR Squaded
09/24/2016	Lexington VA	Kelia	Aardema	VMI (W)	0	0	False	0	0	False
10/01/2016	Annapolis MD	Kelia	Aardema	VMI (W)	0	0	False	0	0	False
10/15/2016	Morehead KY	Kelia	Aardema	VMI (W)	0	0	False	0	0	False
10/29/2016	Lexington VA	Kelia	Aardema	VMI (W)	498	0	False	0	0	False
11/05/2016	Lexington VA	Kelia	Aardema	VMI (W)	0	0	False	519	0	False
11/12/2016	Lexington VA	Kelia	Aardema	VMI (W)	0	0	False	0	0	False
01/28/2017	Charleston SC	Kelia	Aardema	VMI (W)	0	0	False	0	0	False
02/11/2017	Lexington VA	Kelia	Aardema	VMI (W)	508	0	False	0	0	False
09/21/2016	University MS	Andrew	Abernathy	North Georgia	0	0	False	0	0	False
10/08/2016	Lexington KY	Andrew	Abernathy	North Georgia	561	0	True	573	0	True
10/22/2016	Dahlonega GA	Andrew	Abernathy	North Georgia	565	0	True	566	0	True
10/29/2016	Morehead KY	Andrew	Abernathy	North Georgia	562	0	True	564	0	True
11/06/2016	Dahlonega GA	Andrew	Abernathy	North Georgia	0	0	False	0	0	False
11/12/2016	Lexington VA	Andrew	Abernathy	North Georgia	559	0	True	571	0	True
11/18/2016	Jacksonville AL	Andrew	Abernathy	North Georgia	567	0	True	567	0	True
01/20/2017	Murray KY	Andrew	Abernathy	North Georgia	545	0	True	574	0	True
01/28/2017	Charleston SC	Andrew	Abernathy	North Georgia	560	0	True	576	0	True
01/28/2017	Raleigh NC	Andrew	Abernathy	North Georgia	555	15	True	569	25	True
02/04/2017	Charleston SC	Andrew	Abernathy	North Georgia	563	0	True	578	0	True
02/11/2017	Unkown XX	Andrew	Abernathy	North Georgia	0	0	False	0	0	False
09/24/2016	Lexington VA	Samantha	Alexander	VMI (W)	538	0	True	571	0	True
10/01/2016	Annapolis MD	Samantha	Alexander	VMI (W)	549	0	True	571	0	True
10/15/2016	Morehead KY	Samantha	Alexander	VMI (W)	542	0	True	562	0	True
10/29/2016	Lexington VA	Samantha	Alexander	VMI (W)	546	0	True	565	0	True
11/05/2016	Lexington VA	Samantha	Alexander	VMI (W)	559	0	True	566	0	True
11/12/2016	Lexington VA	Samantha	Alexander	VMI (W)	550	0	True	570	0	True
01/28/2017	Charleston SC	Samantha	Alexander	VMI (W)	557	0	True	572	0	True
02/11/2017	Lexington VA	Samantha	Alexander	VMI (W)	546	0	True	571	0	True
10/02/2016	Morgantown WV	Jack	Anderson	West Virginia	567	24	False	584	0	False
10/15/2016	Raleigh NC	Jack	Anderson	West Virginia	0	0	False	577	31	False
10/22/2016	Akron OH	Jack	Anderson	West Virginia	564	16	False	583	0	False
10/23/2016	Columbus OH	Jack	Anderson	West Virginia	569	0	False	579	0	False
11/05/2016	Morgantown WV	Jack	Anderson	West Virginia	570	0	False	588	0	False
11/12/2016	West Point NY	Jack	Anderson	West Virginia	570	17	False	577	26	False
11/13/2016	West Point NY	Jack	Anderson	West Virginia	568	23	False	580	33	False
01/10/2017	Morgantown WV	Jack	Anderson	West Virginia	561	0	False	585	0	False
01/20/2017	Morgantown WV	Jack	Anderson	West Virginia	569	0	False	582	0	False
01/22/2017	Morgantown WV	Jack	Anderson	West Virginia	552	0	False	576	0	False
02/11/2017	Lexington KY	Jack	Anderson	West Virginia	542	0	False	579	0	False
02/12/2017	Lexington KY	Jack	Anderson	West Virginia	550	0	False	585	0	False
10/02/2016	Morgantown WV	William	Anti	West Virginia	583	30	True	586	0	True
10/15/2016	Raleigh NC	William	Anti	West Virginia	575	25	True	588	41	True
10/22/2016	Akron OH	William	Anti	West Virginia	579	31	False	591	0	True
10/23/2016	Columbus OH	William	Anti	West Virginia	576	0	False	582	0	True
11/05/2016	Morgantown WV	William	Anti	West Virginia	583	0	False	584	0	False
11/12/2016	West Point NY	William	Anti	West Virginia	579	27	True	583	35	True
11/13/2016	West Point NY	William	Anti	West Virginia	571	21	True	588	43	True
01/10/2017	Morgantown WV	William	Anti	West Virginia	579	0	False	590	0	False
01/20/2017	Morgantown WV	William	Anti	West Virginia	590	0	False	582	0	False
01/22/2017	Morgantown WV	William	Anti	West Virginia	582	0	False	582	0	False
02/11/2017	Lexington KY	William	Anti	West Virginia	569	0	False	577	0	False
02/12/2017	Lexington KY	William	Anti	West Virginia	572	0	False	586	0	False
02/11/2017	Lexington VA	Gavin	Asbury	VMI	514	0	False	0	0	False
09/24/2016	Lexington VA	Allison	Auten	Citadel	550	0	True	559	0	True
10/01/2016	Charleston SC	Allison	Auten	Citadel	541	0	True	568	0	True
10/15/2016	Charleston SC	Allison	Auten	Citadel	562	0	True	574	0	True
10/22/2016	Dahlonega GA	Allison	Auten	Citadel	549	0	True	571	0	True
10/29/2016	Charleston SC	Allison	Auten	Citadel	542	0	True	581	0	True
11/05/2016	Charleston SC	Allison	Auten	Citadel	555	0	True	583	0	True
